id,title,url,filename,item_code,base_code,item_code_family,category,section,language,topics,year,bytes,size_human,last_modified,source_page,source_title,source_count,host,status
399,Compartiendo desde detrás de los muros - Otoño 2009,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2009.pdf,sf-97_fall_2009.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2009,255294,249.3 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
400,Compartiendo desde detrás de los muros - Otoño 2010,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2010.pdf,sf-97_fall_2010.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2010,120933,118.1 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
401,Compartiendo desde detrás de los muros - Otoño 2011,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2011.pdf,sf-97_fall_2011.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2011,193993,189.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
402,Compartiendo desde detrás de los muros - Otoño 2012,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2012.pdf,sf-97_fall_2012.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2012,123700,120.8 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
403,Compartiendo desde detrás de los muros - Otoño 2013,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2013.pdf,sf-97_fall_2013.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2013,69049,67.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
404,Compartiendo desde detrás de los muros - Otoño 2014,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2014.pdf,sf-97_fall_2014.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2014,68399,66.8 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
405,Compartiendo desde detrás de los muros - Otoño 2015,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2015.pdf,sf-97_fall_2015.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2015,65660,64.1 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
406,Compartiendo desde detrás de los muros - Otoño 2016,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2016.pdf,sf-97_fall_2016.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2016,331973,324.2 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
407,Compartiendo desde detrás de los muros - Otoño 2017,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2017.pdf,sf-97_fall_2017.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2017,103418,101.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
408,Compartiendo desde detrás de los muros - Otoño 2018,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2018.pdf,sf-97_fall_2018.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2018,568364,555.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
409,Compartiendo desde detrás de los muros - Otoño 2019,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2019.pdf,sf-97_fall_2019.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2019,111405,108.8 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
410,Compartiendo Desde Detrás de los Muros - Otoño 2020,https://www.aa.org/sites/default/files/newsletters/sf-97_fall_2020.pdf,sf-97_fall_2020.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2020,108433,105.9 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
411,Compartiendo Desde Detrás De Los Muros - Otoño 2022,https://www.aa.org/sites/default/files/newsletters/SF-97_Fall_2022.pdf,SF-97_Fall_2022.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2022,380399,371.5 KB,2022-09-21,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
412,Compartiendo Desde Detrás De Los Muros - Otoño 2023,https://www.aa.org/sites/default/files/newsletters/sf-97_fall2023.pdf,sf-97_fall2023.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2023,93025,90.8 KB,2023-12-28,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
413,Compartiendo Desde Detrás De Los Muros - Otoño 2024,https://www.aa.org/sites/default/files/newsletters/SF-97_fall2024.pdf,SF-97_fall2024.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2024,84626,82.6 KB,2024-11-15,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
414,Compartiendo Desde Detrás De Los Muros - Otoño 2025,https://www.aa.org/sites/default/files/newsletters/SF-97_fall2025.pdf,SF-97_fall2025.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2025,114500,111.8 KB,2025-11-12,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
415,Compartiendo desde detrás de los muros - Primavera 2008,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2008.pdf,sf-97_spring_2008.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2008,64549,63.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
416,Compartiendo desde detrás de los muros - Primavera 2009,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2009.pdf,sf-97_spring_2009.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2009,216187,211.1 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
417,Compartiendo desde detrás de los muros - Primavera 2009,https://www.aa.org/sites/default/files/newsletters/sf-97_winter_2009.pdf,sf-97_winter_2009.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2009,206466,201.6 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
418,Compartiendo desde detrás de los muros - Primavera 2010,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2010.pdf,sf-97_spring_2010.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2010,125232,122.3 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
419,Compartiendo desde detrás de los muros - Primavera 2011,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2011.pdf,sf-97_spring_2011.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2011,182264,178.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
420,Compartiendo desde detrás de los muros - Primavera 2012,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2012.pdf,sf-97_spring_2012.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2012,116723,114.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
421,Compartiendo desde detrás de los muros - Primavera 2013,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2013.pdf,sf-97_spring_2013.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2013,70516,68.9 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
422,Compartiendo desde detrás de los muros - Primavera 2014,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2014.pdf,sf-97_spring_2014.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2014,63661,62.2 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
423,Compartiendo desde detrás de los muros - Primavera 2016,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2016.pdf,sf-97_spring_2016.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2016,74846,73.1 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
424,Compartiendo desde detrás de los muros - Primavera 2017,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2017.pdf,sf-97_spring_2017.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2017,82150,80.2 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
425,Compartiendo desde detrás de los muros - Primavera 2018,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2018.pdf,sf-97_spring_2018.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2018,112023,109.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
426,Compartiendo Desde Detrás de los Muros - Primavera 2020,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2020.pdf,sf-97_spring_2020.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2020,91126,89.0 KB,2021-09-03,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
427,Compartiendo Desde Detrás de los Muros - Primavera 2021,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2021_0.pdf,sf-97_spring_2021_0.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2021,308339,301.1 KB,2021-09-03,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
428,Compartiendo Desde Detrás De Los Muros - Primavera 2022,https://www.aa.org/sites/default/files/newsletters/SF-97_Spring_2022_SP.pdf,SF-97_Spring_2022_SP.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2022,324235,316.6 KB,2022-03-31,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
429,Compartiendo Desde Detrás De Los Muros - Primavera 2023,https://www.aa.org/sites/default/files/newsletters/SF-97_Spring_2023.pdf,SF-97_Spring_2023.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2023,252992,247.1 KB,2023-03-20,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
430,Compartiendo Desde Detrás De Los Muros - Primavera 2024,https://www.aa.org/sites/default/files/newsletters/sf-97_spring2024.pdf,sf-97_spring2024.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2024,105702,103.2 KB,2024-07-16,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
431,Compartiendo Desde Detrás De Los Muros - Primavera 2026,https://www.aa.org/sites/default/files/newsletters/sf-97_spring2026.pdf,sf-97_spring2026.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2026,348039,339.9 KB,2026-03-27,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
432,Compartiendo Desde Detrás De Los Muros - Primavera/Verano 2025,https://www.aa.org/sites/default/files/newsletters/SF-97_spring-summer2025.pdf,SF-97_spring-summer2025.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2025,95686,93.4 KB,2025-08-04,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
433,Compartiendo desde detrás de los muros - Verano 2008,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2008.pdf,sf-97_summer_2008.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2008,58548,57.2 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
434,Compartiendo desde detrás de los muros - Verano 2009,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2009.pdf,sf-97_summer_2009.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2009,185382,181.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
435,Compartiendo desde detrás de los muros - Verano 2010,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2010.pdf,sf-97_summer_2010.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2010,226073,220.8 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
436,Compartiendo desde detrás de los muros - Verano 2011,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2011.pdf,sf-97_summer_2011.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2011,123139,120.3 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
437,Compartiendo desde detrás de los muros - Verano 2012,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2012.pdf,sf-97_summer_2012.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2012,117477,114.7 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
438,Compartiendo desde detrás de los muros - Verano 2013,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2013.pdf,sf-97_summer_2013.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2013,199236,194.6 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
439,Compartiendo desde detrás de los muros - Verano 2014,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2014.pdf,sf-97_summer_2014.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2014,67918,66.3 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
440,Compartiendo desde detrás de los muros - Verano 2015,https://www.aa.org/sites/default/files/newsletters/sf-97_spring_2015.pdf,sf-97_spring_2015.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2015,56782,55.5 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
441,Compartiendo desde detrás de los muros - Verano 2015,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2015.pdf,sf-97_summer_2015.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2015,66229,64.7 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
442,Compartiendo desde detrás de los muros - Verano 2016,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2016.pdf,sf-97_summer_2016.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2016,58379,57.0 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
443,Compartiendo desde detrás de los muros - Verano 2017,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2017.pdf,sf-97_summer_2017.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2017,74111,72.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
444,Compartiendo desde detrás de los muros - Verano 2018,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2018.pdf,sf-97_summer_2018.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2018,145827,142.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
445,Compartiendo desde detrás de los muros - Verano 2019,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2019.pdf,sf-97_summer_2019.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2019,482713,471.4 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
446,Compartiendo Desde Detrás de los Muros - Verano 2020,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2020.pdf,sf-97_summer_2020.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2020,522361,510.1 KB,2021-07-13,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
447,Compartiendo Desde Detrás de los Muros - Verano 2021,https://www.aa.org/sites/default/files/newsletters/sf-97_summer_2021.pdf,sf-97_summer_2021.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2021,93633,91.4 KB,2021-09-03,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
448,Compartiendo Desde Detrás De Los Muros - Verano 2022,https://www.aa.org/sites/default/files/newsletters/SF-97_Summer_2022.pdf,SF-97_Summer_2022.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2022,128977,126.0 KB,2022-07-07,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
449,Compartiendo Desde Detrás De Los Muros - Verano 2023,https://www.aa.org/sites/default/files/newsletters/sf-97_summer2023.pdf,sf-97_summer2023.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2023,80199,78.3 KB,2023-06-08,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
450,Compartiendo Desde Detrás De Los Muros - Verano 2026,https://www.aa.org/sites/default/files/newsletters/SF-97_summer2026.pdf,SF-97_summer2026.pdf,SF-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,,2026,336609,328.7 KB,2026-07-23,https://www.aa.org/es/sharing-from-behind-the-walls,Compartiendo desde detrás de los Muros,1,www.aa.org,ok
451,Contenido del Manual del grupo de AA para los grupos que se reúnen dentro de una institución correccional,https://www.aa.org/sites/default/files/literature/cf-36sp-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-sp-2025.pdf,cf-36sp-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-sp-2025.pdf,,,,Corrections,Carrying the Message,Spanish,Corrections; Group Service,2025,152263,148.7 KB,2025-09-30,https://www.aa.org/es/instituciones-correccionales-manual-de-grupo,Contenido del Manual del grupo de AA para los grupos que se reúnen dentro de una institución correccional,2,www.aa.org,ok
452,Contenido del Paquete de Correccionales,https://aaws.widen.net/content/ndhsudey9n/pdf/sf-68_corrections_kit_online.pdf,sf-68_corrections_kit_online.pdf,SF-68,F-68,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,Corrections; Workbook / Kit,,163272,159.4 KB,2026-02-10,https://www.aa.org/es/contenido-del-paquete-de-correccionales,Contenido del Paquete de Correccionales,1,aaws.widen.net,ok
453,Contents of Corrections Committee Kit List,https://aaws.widen.net/content/uhxx9rtu7v/pdf/f-68_corrections_kit_online.pdf,f-68_corrections_kit_online.pdf,F-68,F-68,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,English,Corrections; Workbook / Kit,,118428,115.7 KB,2026-02-10,https://www.aa.org/contents-corrections-kit,Contents of Corrections Committee Kit List,2,aaws.widen.net,ok
454,Contents of the A.A. Group Handbook for Groups That Meet in Correctional Facilities,https://www.aa.org/sites/default/files/literature/cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,cf-36-contents-of-the-aa-group-handbook-that-meet-in-correctional-facilities-en-2025.pdf,CF-36,CF-36,Conference & Forum Materials,Corrections,Carrying the Message,English,Corrections; Group Service,2025,135301,132.1 KB,2025-09-30,https://www.aa.org/contents-aa-group-handbook-groups-meet-correctional-facilities,Contents of the A.A. Group Handbook for Groups That Meet in Correctional Facilities,2,www.aa.org,ok
455,Contenu de la pochette du Correctionnel,https://aaws.widen.net/content/ixpjszbzra/pdf/ff-68_corrections_kit_online.pdf,ff-68_corrections_kit_online.pdf,FF-68,F-68,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,French,Corrections; Workbook / Kit,,168450,164.5 KB,2026-02-10,https://www.aa.org/fr/contenu-de-la-pochette-du-correctionnel,Contenu de la pochette du Correctionnel,1,aaws.widen.net,ok
456,Corrections Correspondence Service Insider Request Form,https://aaws.widen.net/content/pwy82ehgc7/pdf/f-73_ccs-2_insider_request_form.pdf,f-73_ccs-2_insider_request_form.pdf,F-73,F-73,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,English,Corrections; Form / Application,,95800,93.6 KB,2026-03-10,https://www.aa.org/corrections-correspondence-service-insider-request-form,Corrections Correspondence Service Insider Request Form,1,aaws.widen.net,ok
457,Corrections Correspondence — a special kind of A.A. Service,https://aaws.widen.net/content/ypmeikl1c9/pdf/f-26_corrections_correspondence_online.pdf,f-26_corrections_correspondence_online.pdf,F-26,F-26,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,English,Corrections,,52688,51.5 KB,2026-03-10,https://www.aa.org/corrections-correspondence-special-kind-aa-service,Corrections Correspondence — a special kind of A.A. Service,2,aaws.widen.net,ok
458,Corrections Workbook,https://aaws.widen.net/content/wac1oxgi48/pdf/m-45i_corrections_workbook_online.pdf,m-45i_corrections_workbook_online.pdf,M-45I,M-45I,Displays & Wallet Cards,Corrections,Carrying the Message,English,Corrections; Workbook / Kit,,2574066,2.5 MB,2026-03-10,https://www.aa.org/corrections-workbook,Corrections Workbook,1,aaws.widen.net,ok
459,Correspondance avec les détenus : une forme particulière de service chez les AA,https://aaws.widen.net/content/bkm5bd8rzt/pdf/ff-26_corrections_correspondence_online.pdf,ff-26_corrections_correspondence_online.pdf,FF-26,F-26,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,French,Corrections; Form / Application,,49822,48.7 KB,2026-03-10,https://www.aa.org/fr/correspondance-avec-les-detenus-une-forme-particuliere-de-service-chez-les-aa,Correspondance avec les détenus : une forme particulière de service chez les AA,1,aaws.widen.net,ok
460,Correspondencia de Correccionales: una clase especial de servicio de AA,https://aaws.widen.net/content/z0bk55jizy/pdf/sf-26_corrections_correspondence_online.pdf,sf-26_corrections_correspondence_online.pdf,SF-26,F-26,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,Corrections,,48623,47.5 KB,2025-10-22,https://www.aa.org/es/correspondencia-de-correccionales-una-clase-especial-de-servicio-de-aa,Correspondencia de Correccionales: una clase especial de servicio de AA,1,aaws.widen.net,ok
461,Derrière les murs : un message d'espoir,https://aaws.widen.net/content/tutr46zqy9/pdf/fp-9_behind_the_walls_a_message_of_hope_online.pdf,fp-9_behind_the_walls_a_message_of_hope_online.pdf,FP-9,P-9,Pamphlets & Booklets,Corrections,Carrying the Message,French,,,650579,635.3 KB,2024-08-28,https://www.aa.org/fr/derriere-les-murs-un-message-despoir,Derrière les murs : un message d'espoir,1,aaws.widen.net,ok
462,Detrás de los muros: un mensaje de esperanza,https://aaws.widen.net/content/aljajmhlgb/pdf/sp-9_behind_the_walls_a_message_of_hope_online.pdf,sp-9_behind_the_walls_a_message_of_hope_online.pdf,SP-9,P-9,Pamphlets & Booklets,Corrections,Carrying the Message,Spanish,,,573028,559.6 KB,2025-04-25,https://www.aa.org/es/detras-de-los-muros-un-mensaje-de-esperanza,Detrás de los muros: un mensaje de esperanza,1,aaws.widen.net,ok
463,F-97 Winter 2022,https://www.aa.org/sites/default/files/newsletters/F-97_Winter_2022.pdf,F-97_Winter_2022.pdf,F-97,F-97,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,English,,2022,241436,235.8 KB,2023-01-19,https://www.aa.org/sharing-from-behind-the-walls,Sharing from Behind the Walls,1,www.aa.org,ok
464,Guías de A.A. acerca de Comités de Correccionales,https://aaws.widen.net/content/qs3cvdlw19/pdf/smg-6_corrections_online.pdf,smg-6_corrections_online.pdf,SMG-6,MG-6,A.A. Guidelines,Corrections,Carrying the Message,Spanish,Corrections,,36289,35.4 KB,2025-07-30,https://www.aa.org/es/guias-de-aa-acerca-de-comites-de-correccionales,Guías de A.A. acerca de Comités de Correccionales,1,aaws.widen.net,ok
465,Información de Contactos de AA Previos a la Salida en Libertad de Correccionales,https://aaws.widen.net/content/hq222intzx/pdf/sf-163_corrections_prerelease_for_aa_inmates_inside_online.pdf,sf-163_corrections_prerelease_for_aa_inmates_inside_online.pdf,SF-163,F-163,"Forms, Catalogs & Order Blanks",Corrections,Carrying the Message,Spanish,Corrections; Form / Application,,50349,49.2 KB,2025-04-10,https://www.aa.org/es/informacion-de-contactos-de-aa-previos-la-salida-en-libertad-de-correccionales,Información de Contactos de AA Previos a la Salida en Libertad de Correccionales,2,aaws.widen.net,ok
